WatReqID,PlanningUnitID,Rationale,WReq_FISH,WReq_VEG,WReq_WBIRD,WReq_OTHER,CompliancePoint/Node,Condition,StartWateringPeriod,EndWateringPeriod,FlowComponent,BPFlowComponent,FlowMagnitude,WateringFrequency,WateringDuration,WateringDepth/height_m AHD,MaxIntervalBtwnEvents,Additional requirements/Notes
Ra_0001017,PU_0000282,"Flow VF1: Native Fish: NF1 – Survival and condition (all species) Ecosystem Functions: EF1, 2 – refuge habitat",TRUE,FALSE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,Very dry,Any time,Any time,Very low flow,Base flow - Other,>50 ML/d,Every year,"In very dry years, at least 210 days per year (see note)",,1980-2017 observations did not exceed 35 days for 95% of events (see note),"Flow ideally >0.03–0.05 m/s to de-stratify pools; Note: These minimums are where the benefits of flow categories are likely to begin manifesting. Further substantial benefits occur, particularly for wetland connecting large freshes and overbanks, as flows increase in size. These thresholds SHOULD NOT be used to indicate that constraints only need to be raised to achieve these minimums."
Ra_0001018,PU_0000282,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – condition and movement Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,,Any time,Any time,Base flow,Base flow,>100 ML/d,Every year,"In typical years, 291 days per year",Minimum depth of 0.3 m to allow fish passage,1980-2017 observations did not exceed 47 days for 95% of events (see note),"Note: These minimums are where the benefits of flow categories are likely to begin manifesting. Further substantial benefits occur, particularly for wetland connecting large freshes and overbanks, as flows increase in size. These thresholds SHOULD NOT be used to indicate that constraints only need to be raised to achieve these minimums."
Ra_0001019,PU_0000282,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – condition and movement Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,Very dry,Any time,Any time,Base flow,Base flow,>100 ML/d,Every year,"In very dry years, at least 157 days per year (see note)",Minimum depth of 0.3 m to allow fish passage,1980-2017 observations did not exceed 47 days for 95% of events (see note),"Note: These minimums are where the benefits of flow categories are likely to begin manifesting. Further substantial benefits occur, particularly for wetland connecting large freshes and overbanks, as flows increase in size. These thresholds SHOULD NOT be used to indicate that constraints only need to be raised to achieve these minimums."
Ra_0001020,PU_0000282,"Flow NestS1: Native Fish NF5, 6, 8 - Nesting of riverine specialists (protect nesting sites by avoiding rapid changes in water levels)
Native Vegetation: NV1,3 – in-channel & riparian",TRUE,TRUE,FALSE,FALSE,Old Man Creek @ Kywong: 410093,,September,November,Nesting Support,Other,100-2000 ML/d Max rate of fall 20% per day.,5-10 years in 10 (75% of years),"60 days minimum for trout cod & Murray cod.
45 day minimum for only Murray cod",,2 years,"Ideal flow timing: 15 Sep- 15 Nov for trout cod & Murray cod; Allow variable flows but avoid large sudden decreases in water level to prevent loss of nesting sites.
Flow decreases not to exceed 20%, which is the 20th percentile of modelled natural rate of fall (the fastest 20% of natural rates of fall - calculated from the modelled 'without-development' flow data).

1 Oct  15 Nov for only Murray cod.
(Only apply EWR if flows are in the BF or SF range at start of period); Allow variable flows but avoid large sudden decreases in water level to prevent loss of nesting sites.
Flow decreases not to exceed 20%, which is the 20th percentile of modelled natural rate of fall (the fastest 20% of natural rates of fall - calculated from the modelled 'without-development' flow data)."
Ra_0001021,PU_0000282,"Flow SF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – Dispersal/condition (all species) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3, 4, 5",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,,Any time,Any time,Small fresh,Fresh,>500 ML/d,2 events per year,10 days minimum,Minimum depth of 0.5 m to allow movement of large fish,1 year,"Max rate of fall: No faster than 36% per day (The 5th percentile (fastest 5% of rates of fall) of ‘pre-development’ modelled flows). Ideal flow timing: Anytime but ideally Oct -Apr, & ideally 2-3 weeks after ‘LF2’; >20°C for Oct – Apr (for native fish); for river blackfish >16°C; for Murray cod Sept- Dec >18°C"
Ra_0001022,PU_0000282,"Flow SF2: Native Fish: NF1, 2, 5, 6, 8 – Spawning (river specialists, generalists) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3, 4, 5",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,,September,April,Small fresh,Fresh,500-2500 ML/d,5-10 years in 10 (75% of years),14 days minimum,Minimum depth of 0.5 m to allow movement of large fish,2 years,"Ideal flow timing: 15 Sep - Apr; Flow ideally up to 0.3-0.4 m/s (depending on channel form), >20°C for Oct – Apr (for native fish); for river blackfish >16°C; for Murray cod Sept - Dec >18°C; Max rate of fall: No faster than 36% per day. Note:   Based on 1980-2017 observations. There are no ‘pre-development’ observations and the model is less well developed as that on the main Murrumbidgee, so has not been used here. For duration of CtF events the typical year is based on the median observed duration. The ‘very dry year’ is based on the 95th percentile duration. This has been reduced to 9 days, which is the 75th percentile duration to protect the fish community and note that its resilience is likely to have been compromised by development."
Ra_0001023,PU_0000282,"Flow LF1: Native Fish: NF1, 2, 4, 5, 6, 8, 9, 10 – dispersal/condition (all species) Native Vegetation: NV1, 3 – in-channel/ riparian Ecosystem Functions: EF2, 3, 4, 5, 6, 7",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,,Any time,Any time,Large fresh,Fresh,>2500 ML/d,5-10 years in 10 (75% of years),5 days minimum,Minimum depth of 2 m to cover in-stream features & trigger response from fish,2 years,"Ideal flow timing: Anytime , but ideally July – Sept. Consider delivery outside cod breeding season to avoid flushing of nests; Flow ideally 0.3-0.4 m/s (depending on channel form); Max rate of fall: No faster than 31% per day. Note: Based on 1980-2017 observations. There are no ‘pre-development’ observations and the model is less well developed as that on the main Murrumbidgee, so has not been used here. For duration of CtF events the typical year is based on the median observed duration. The ‘very dry year’ is based on the 95th percentile duration. This has been reduced to 9 days, which is the 75th percentile duration to protect the fish community and note that its resilience is likely to have been compromised by development."
Ra_0001024,PU_0000282,"Flow LF2: Native Fish: NF1, 4, 6, 9 – spawning (flow pulse specialists) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF2, 3, 4, 5, 6, 7",TRUE,TRUE,FALSE,TRUE,Old Man Creek @ Kywong: 410093,,October,April,Large fresh,Fresh,>2500 ML/d,6–7 years in 10 (65% of years),5 days minimum,Minimum depth of 2 m to cover in-stream features & trigger response from fish,2 years,"Ideal flow timing: Oct -Apr. Consider delivery outside cod breeding season to avoid flushing of nests.; Flow ideally 0.3-0.4 m/s (depending on channel form); Max rate of fall: No faster than 31% per day. Note: Based on 1980-2017 observations. There are no ‘pre-development’ observations and the model is less well developed as that on the main Murrumbidgee, so has not been used here. For duration of CtF events the typical year is based on the median observed duration. The ‘very dry year’ is based on the 95th percentile duration. This has been reduced to 9 days, which is the 75th percentile duration to protect the fish community and note that its resilience is likely to have been compromised by development.
Rapid rise (comparable to natural rates) >17°C. Ideally follow 2–3 weeks later with SF1 for improved fish recruitment, productivity and dispersal."
Ra_0001025,PU_0000282,"Flow W-LF5: Fish dispersal & condition; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal & condition (all species) Native Vegetation: NV1, 2, 3 – riparian river red gum communities Waterbirds: WB1, 2, 5 – habitat Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – lateral floodplain, productivity, bench and pool forming Other Species (Frogs): OS1 – habitat",TRUE,TRUE,TRUE,TRUE,Old Man Creek @ Kywong: 410093,,Any time,Any time,Large fresh with wetland connection,Fresh,>5800 ML/d – Not deliverable under current constraints,"2-3 years in 10 (1 every 35 years)
(25% of years)",5 days minimum for fish dispersal,,5 years,Ideal flow timing: Anytime – but ideally Sept – Feb
Ra_0001026,PU_0000282,"Flow W-LF6: Non- woody veg zone – also for frog recruitment; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 – dispersal & condition (all species) Native Vegetation: NV2, 3, 4 – Non-woody vegetation in wetlands, river red gum forest fringing wetlands/channels Waterbirds: WB1, 2, 3, 5 – habitat, small scale breeding Function: EF1, 2, 3, 4, 5, 6, 7 – core wetland habitats, lateral connectivity, productivity Other Species (Frogs): OS1, 2, 3 – recruitment",TRUE,TRUE,TRUE,TRUE,Old Man Creek @ Kywong: 410093,,July,February,Large fresh with wetland connection,Fresh,>5800 ML/d – Not deliverable under current constraints,6-8 years in 10 (70% of years),3-10 months. Refers to the persistence of standing water (mini-mum 3-7 months de-pending on vegetation community),,2 years,"Ideal flow timing: July - Feb flow timing. There are benefits also outside that period including by providing bird foraging habitat; Ideally maintain stable water levels in active waterbird colony sites and provide slow draw down for shallow muddy edges for bird foraging habitat. 
For best benefits duration of standing water of at least 90 days is required during the growing season (from Sept on). Also note that some frog species are summer breeders so will need at least 3 months from Oct.
To increase cover & extent of non-woody vegetation communities - clustered, sequenced flows (i.e. annual flows over 23 years) are required. 
The provision of periods of higher flow magnitude & successive flows also has the potential to increase non-woody vegetation cover & extent &/or limit encroachment of woody species (if desired)."
Ra_0001027,PU_0000282,"Flow W-LF7: fish connect flow; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal from off channel wetlands (all species) Native Vegetation: NV1, 2, 3 Waterbirds: WB1, 5 Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – connectivity Other Species (Frogs): OS1",TRUE,TRUE,TRUE,TRUE,Old Man Creek @ Kywong: 410093,,Any time,Any time,Large fresh with wetland connection,Fresh,>5800 ML/d – Not deliverable under current constraints,"3 years in 10 or as required by breeding triggers
(30% of years)",5 days,,5 years,"Ideal flow timing: Any time (Return movement may vary seasonally, so future research will inform any necessary refinement in the timing of this), but triggered by significant fish breeding in off-channel wetlands . Flow 3-18 months after breeding occurs
Flow must occur before habitat (depth, cover, water quality) of waterbody is lost by drying; Ideally provide a protracted recession to promote exit to the river.
This is for within 318 months so long as sufficient habitat (depth, cover) is maintained in the wetland to support the strong 0+ cohort until re-connection occurs  may be wetland specific.
Trigger is verified breeding event. Where there has been insufficient monitoring to confirm/deny this, the trigger is a long duration wetland connecting LF (W-LF4) or an overbank (OB-S1, OB-S2 or OB-L1) in those Pus where these have been shown to produce significant breeding responses. The 3+ month delay following the breeding event is to allow recruits to use the nursey to move into the river & reach sufficient maturity to move into the river."
Ra_0001028,PU_0000282,"Flow OB-S2: Floodplain Connection Flow (Overbank Small 2) (River red gum zone); Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal and condition (all species) Native Vegetation: NV2, 3, 4a, 4b, 4e river red gum (riparian and floodplain wetland), lignum Waterbirds: WB1, 2, 3, 4, 5 – habitat and potential small-scale breeding Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – channel forming, lateral connectivity, productivity Other Species (Frogs): OS1, 2, 3 – recruitment",TRUE,TRUE,TRUE,TRUE,Old Man Creek @ Kywong: 410093,,August,February,Small overbank,Over-bank flows,6500 ML/d – Not deliverable,5 years in 10 (50% of years),"In line with natural median duration for fish dispersal & riparian river red gum communities.
For wetlands 3-7 months persistence of standing water. For streamside areas, only dur-ation to fill the soil profile, de-pressions/ billa-bongs required.",,4 years,"Ideal flow timing: Aug -Feb, with benefits also outside that period including by providing bird foraging habitat; Ideally maintain stable water levels in active waterbird colony sites and provide slow draw down for shallow muddy edges for bird foraging habitat.
To support river red gum flowering, seed set and seedling establishment  clustered, sequenced flows (i.e. annual flows over 23 years) are required. The provision of periods of successive flows will also improve the condition of existing river red gum and reduce unwanted river red gum recruitment. 
For timing: flow can occur earlier, but for best benefits, duration of standing water of at least 90 days is required from Sept on to fit with vegetation growing season & bird breeding seasonality. Also note that some frog species are summer breeders, which, when a target for flows, will need at least 3 months from Oct."
Ra_0001029,PU_0000288,"Flow W-LF3: core wetland & off-channel fish refuge; Native Fish: NF1, 3, 7 – refuge pools for floodplain specialists Native Vegetation: NV1, 2 – wetland non-woody vegetation Waterbirds: WB1, 2, 5 Ecosystem Functions: EF1 – protection of core wetland areas Other Species (Frogs): OS1",TRUE,TRUE,TRUE,TRUE,,,,,,N/A,,9-10 years in 10,,,,"Fivebough Ramsar wetland- Volume: 300 to 1000 ML Includes watering of larger gilgai area for wader habitat & summer top ups of the core permanent wetland area for waterbird refuge.; Tuckerbil Ramsar wetland- 450-550 ML 300-400 ML provided in autumn (MIA channels are often shut down in winter) to fill dam & wader habitat. Core refuge site & bittern habitat is a 7-hectare dam which is topped up 2-3 times in with ~50 ML before drying down in autumn.; Campbells Reed beds & waterbird refuge - Volume: 500 ML(for core wetlands) to 800 ML (for outer areas), Generally main delivery in spring with one to two top ups in summer; Turkey Flat Cumbungi wetland & bird refuge , volume: 500-1500 ML;  McCaugheys Lagoon (including Yarangerry Creek) Spike rush & cumbungi wetland & bird refuge , Volume: Up to 1000 ML, Delivery via Yarangerry Creek, benefits to creek en route; Euwarderry Lagoon Core refuge for native fish & turtles, Vol -100-200; Koala Lagoon (to be confirmed) vol- 200-400; Mantangary Lagoon Core refuge for native fish & turtles in Mantangary, vol- 200 (potentially pumping direct from river using Kooba Station infrastructure), 200 ML potentially provided as two separate top ups.
Mantangary is a small lagoon of the Gooragool complex"
Ra_0001030,PU_0000288,"Flow W-LF6: Non- woody veg zone – also for frog recruitment; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 – dispersal & condition (all species) Native Vegetation: NV2, 3, 4 – Non-woody vegetation in wetlands, river red gum forest fringing wetlands/channels Waterbirds: WB1, 2, 3, 5 – habitat, small scale breeding Function: EF1, 2, 3, 4, 5, 6, 7 – core wetland habitats, lateral connectivity, productivity Other Species (Frogs): OS1, 2, 3 – recruitment",TRUE,TRUE,TRUE,TRUE,,,,,,N/A,,6-8 years in 10,,,,"Gooragool Lagoon & Mantangary Lagoon - Southern bell frogs, river red gum & non-woody vegetation & colonial waterbird breeding, Vol- Up to 2000, (potentially pumping direct from river using Kooba Station infrastructure), Watering Gooragool will also water the smaller Mantangary Lagoon; Nericon Bird refuge , vol- Average 500-600, up to 1000, Shallower lagoon than Campbells, so holds water less well."
Ra_0001031,PU_0000283,"Flow CF1: Native Fish: NF1 – Survival (all species) Ecosystem Functions: EF1, 2 – refuge habitat",TRUE,FALSE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,N/A,N/A,Cease to flow,Cease-to-flow,<1 ML/d,N/A,N/A,N/A,N/A,CF events have not been observed in the post development period (19802017). They should therefore be avoided to protect the fish community. The resilience of this community is likely to have been compromised by development.
Ra_0001032,PU_0000283,"Flow VF1: Native Fish: NF1 – Survival and condition (all species) Ecosystem Functions: EF1, 2 – refuge habitat",TRUE,FALSE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Very low flow,Base flow - Other,>80 ML/d,Every year,"In typical years, 365 days per year",,1980-2017 observations did not exceed 4 days for 95% of events (see note),"Flow ideally >0.03–0.05 m/s to de-stratify pools; Note: Based on 19802017 observations, with ‘typical year’ value the median of those observations, and ‘very dry’ value the 95th percentile. Post development observations are chosen because they are higher than pre-development. These higher values place less risk on the ecological community which in the Murrumbidgee catchment is likely to be less resilient. The pre-development modelled scenario is not comparable to the current situation in the Yanco/Billabong Creek system because the Creeks are now perennial systems."
Ra_0001033,PU_0000283,"Flow VF1: Native Fish: NF1 – Survival and condition (all species) Ecosystem Functions: EF1, 2 – refuge habitat",TRUE,FALSE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,Very dry,Any time,Any time,Very low flow,Base flow - Other,>80 ML/d,Every year,"In very dry years, at least 354 days per year  (see note)",,1980-2017 observations did not exceed 4 days for 95% of events (see note),"Flow ideally >0.03–0.05 m/s to de-stratify pools; Note: Based on 19802017 observations, with ‘typical year’ value the median of those observations, and ‘very dry’ value the 95th percentile. Post development observations are chosen because they are higher than pre-development. These higher values place less risk on the ecological community which in the Murrumbidgee catchment is likely to be less resilient. The pre-development modelled scenario is not comparable to the current situation in the Yanco/Billabong Creek system because the Creeks are now perennial systems."
Ra_0001034,PU_0000283,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – condition and movement Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Base flow,Base flow,>250 ML/d,Every year,"In typical years, 360 days per year",Minimum depth of 0.3 m to allow fish passage,1980-2017 observations did not exceed 58 days for 95% of events (see note),"Note: These minimums are where the benefits of flow categories are likely to begin manifesting. Further substantial benefits occur, particularly for wetland connecting large freshes and overbanks, as flows increase in size. These thresholds SHOULD NOT be used to indicate that constraints only need to be raised to achieve these minimums."
Ra_0001035,PU_0000283,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – condition and movement Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,Very dry,Any time,Any time,Base flow,Base flow,>250 ML/d,Every year,"In very dry years, at least 213 days per year (see note)",Minimum depth of 0.3 m to allow fish passage,1980-2017 observations did not exceed 58 days for 95% of events (see note),"Note: These minimums are where the benefits of flow categories are likely to begin manifesting. Further substantial benefits occur, particularly for wetland connecting large freshes and overbanks, as flows increase in size. These thresholds SHOULD NOT be used to indicate that constraints only need to be raised to achieve these minimums."
Ra_0001036,PU_0000283,"Flow NestS1: Native Fish NF5, 6, 8 - Nesting of riverine specialists (protect nesting sites by avoiding rapid changes in water levels)
Native Vegetation: NV1,3 – in-channel & riparian",TRUE,TRUE,FALSE,FALSE,Yanco Creek @ Offtake: 410007,,September,November,Nesting Support,Other,"250-1,000 ML/d Max rate of fall 11% per day.",5-10 years in 10 (75% of years),"60 days minimum for trout cod & Murray cod.
45 day minimum for only Murray cod",,2 years,"Ideal flow timing: 15 Sep - 15 Nov for trout cod & Murray cod, 1 Oct - 15 Nov for only Murray cod, (Only apply EWR if flows are in the BF or SF range at start of period); Allow variable flows but avoid large sudden de-creases in water level to prevent loss of nesting sites. Flow decreases not to exceed 11% per day which is the 20th percentile (the fastest 20%) of fall - calculated from observed ‘post-development' (1960-2017) flows"
Ra_0001037,PU_0000283,"Flow SF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – Dispersal/condition (all species) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3, 4, 5",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Small fresh,Fresh,>450 ML/d,2 events per year,10 days minimum,Minimum depth of 0.5 m to allow movement of large fish,1 year,"Ideal flow timing: Anytime - but ideally Oct- Apr, & ideally 2-3 weeks after ‘LF2’; >20°C for Oct to Apr (for native fish); Flow ideally up to 0.3-0.4 m/s (depending on channel form); for river blackfish >16°C; for Murray cod Sept to Dec >18°C; Max rate of fall: No faster than 18% per day. Note: The 5th percentile (fastest 5% of rates of fall) of ‘post-development’ 1980-2017 observed flows"
Ra_0001038,PU_0000283,"Flow SF2: Native Fish: NF1, 2, 5, 6, 8 – Spawning (river specialists, generalists) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF1, 2, 3, 4, 5",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,September,April,Small fresh,Fresh,450 to 1000 ML/d,5-10 years in 10 (75% of years),14 days minimum,Minimum depth of 0.5 m to allow movement of large fish,2 years,"Max Rate of fall: No faster than 18% per day. Ideal flow timing: 15 Sep to Apr; Flow ideally up to 0.3-0.4 m/s (depending on channel form), >20°C for Oct to Apr (for native fish); for river blackfish >16°C; for Murray cod Sept to Dec >18°C; Note: Based on 1980-2017 observations, with ‘typical year’ value the median of those observations, and ‘very dry’ value the 95th percentile. Post development observations are chosen because they are higher than pre-development. These higher values place less risk on the ecological community which in the Murrumbidgee catchment is likely to be less resilient. The pre-development modelled scenario is not comparable to the current situation in the Yanco/Billabong Creek system because the Creeks are now perennial systems."
Ra_0001039,PU_0000283,"Flow LF1: Native Fish: NF1, 2, 4, 5, 6, 8, 9, 10 – dispersal/condition (all species) Native Vegetation: NV1, 3 – in-channel/ riparian Ecosystem Functions: EF2, 3, 4, 5, 6, 7",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Large fresh,Fresh,>1000 ML/d,5–10 years in 10 (75% of years),5 days minimum,Minimum depth of 2 m to cover in-stream features & trigger response from fish,2 years,"Ideal flow timing: Anytime - but ideally July - Sept. Consider delivery outside cod breeding season to avoid flushing of nests; Flow ideally 0.3-0.4 m/s (depending on channel form); Max rate of fall: No faster than 27% per day. NOTE: Based on 1980-2017 observations, with ‘typical year’ value the median of those observations, and ‘very dry’ value the 95th percentile. Post development observations are chosen because they are higher than pre-development. These higher values place less risk on the ecological community which in the Murrumbidgee catchment is likely to be less resilient. The pre-development modelled scenario is not comparable to the current situation in the Yanco/Billabong Creek system because the Creeks are now perennial systems."
Ra_0001040,PU_0000283,"Flow LF2: Native Fish: NF1, 4, 6, 9 – spawning (flow pulse specialists) Native Vegetation: NV1 – in-channel Ecosystem Functions: EF2, 3, 4, 5, 6, 7",TRUE,TRUE,FALSE,TRUE,Yanco Creek @ Offtake: 410007,,October,April,Large fresh,Fresh,>1000 ML/d,6–7 years in 10 (65% of years),5 days minimum,Minimum depth of 2 m to cover in-stream features & trigger response from fish,2 years,"Ideal flow timing: Oct- Apr. Consider delivery outside cod breeding season to avoid flushing of nests; Flow ideally 0.3-0.4 m/s (depending on channel form). Rapid rise (comparable to natural rates) >17°C, Ideally follow 2–3 weeks later with SF1 for improved fish recruitment, productivity and dispersal.; No faster than 27% per day. NOTE: Based on 19802017 observations, with ‘typical year’ value the median of those observations, and ‘very dry’ value the 95th percentile. Post development observations are chosen because they are higher than pre-development. These higher values place less risk on the ecological community which in the Murrumbidgee catchment is likely to be less resilient. The pre-development modelled scenario is not comparable to the current situation in the Yanco/Billabong Creek system because the Creeks are now perennial systems."
Ra_0001041,PU_0000283,"Flow W-LF5: Fish dispersal & condition; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal & condition (all species) Native Vegetation: NV1, 2, 3 – riparian river red gum communities Waterbirds: WB1, 2, 5 – habitat Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – lateral floodplain, productivity, bench and pool forming Other Species (Frogs): OS1 – habitat",TRUE,TRUE,TRUE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Large fresh with wetland connection,Fresh,>1500 ML/d – Difficult to deliver under current constraints,2-3 years in 10 (1 every 3-5 years) (25% of years),5 days minimum for fish dispersal,,5 years,Ideal flow timing: Anytime – but ideally Sept -Feb
Ra_0001042,PU_0000283,"Flow W-LF6: Non- woody veg zone – also for frog recruitment; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 – dispersal & condition (all species) Native Vegetation: NV2, 3, 4 – Non-woody vegetation in wetlands, river red gum forest fringing wetlands/channels Waterbirds: WB1, 2, 3, 5 – habitat, small scale breeding Function: EF1, 2, 3, 4, 5, 6, 7 – core wetland habitats, lateral connectivity, productivity Other Species (Frogs): OS1, 2, 3 – recruitment",TRUE,TRUE,TRUE,TRUE,Yanco Creek @ Offtake: 410007,,July,February,Large fresh with wetland connection,Fresh,>1500 ML/d – Difficult to deliver under current constraints,6-8 years in 10 (70% of years),"3-10 months. Refers to the persistence of standing water (minimum 3-7 months depending on vegetation community). The median pre-1950 duration for flows of this size is 5 days. We analysed for cumulative flows of this duration, made up of individual events of a minimum of 3 days length within season.",,2 years,"Ideal flow timing: July - Feb for flow timing required. There are benefits also outside that period including by providing bird foraging habitat; Ideally maintain stable water levels in active waterbird colony sites and provide slow draw down for shallow muddy edges for bird foraging habitat.
For best benefits duration of standing water of at least 90 days is required during the growing season (from Sep on). Also note that some frog species are summer breeders so will need at least 3 months from Oct.
To increase cover & extent of non-woody vegetation communities – clustered, sequenced flows (i.e. annual flows over 23 years) are required.
The provision of periods of higher flow magnitude & successive flows also has the potential to increase non-woody vegetation cover & extent &/or limit encroachment of woody species (if desired)."
Ra_0001043,PU_0000283,"Flow W-LF7: fish connect flow; Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal from off channel wetlands (all species) Native Vegetation: NV1, 2, 3 Waterbirds: WB1, 5 Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – connectivity Other Species (Frogs): OS1",TRUE,TRUE,TRUE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Large fresh with wetland connection,Fresh,>1500 ML/d – Difficult to deliver under current constraints,3 years in 10 or as required by breeding triggers (30% of years),5 days,,5 years,"Ideal flow timing: Anytime(Return movement may vary seasonally, so future research will inform any necessary refinement in the timing of this), but triggered by significant fish breeding in off-channel wetlands. Flow 3-18 months after breeding occurs. Flow must occur before habitat (depth, cover, water quality) of waterbody is lost by drying.; Ideally provide a protract-ted recession to promote exit to the river.
This is for within 318 months so long as suffi-cient habitat (depth, cover) is maintained in the wet-land to support the strong 0+ cohort until reconnection occurs – may be wetland specific.
Trigger is verified breed-ing event. Where there has been insufficient monitoring to confirm/ deny this, the trigger is a long duration wetland connecting LF (W-LF4) or an overbank (OB-S1, OB-S2 or OB-L1) in those PUs where these have been shown to pro-duce significant breeding responses. The 3+ month delay following the breed-ing event is to allow re-cruits to utilise the nursery to reach sufficient maturity to move into the river."
Ra_0001044,PU_0000283,"Flow OB-S2: Floodplain Connection Flow (Overbank Small 2) (River red gum zone); Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – dispersal and condition (all species) Native Vegetation: NV2, 3, 4a, 4b, 4e river red gum (riparian and floodplain wetland), lignum Waterbirds: WB1, 2, 3, 4, 5 – habitat and potential small-scale breeding Ecosystem Functions: EF2, 3, 4, 5, 6, 7 – channel forming, lateral connectivity, productivity Other Species (Frogs): OS1, 2, 3 – recruitment",TRUE,TRUE,TRUE,TRUE,Yanco Creek @ Offtake: 410007,,Any time,Any time,Small overbank,Over-bank flows,>2500 ML/d – Not deliverable under current constraints,5 years in 10 (50% of years),"In line with natural median duration for fish dispersal & riparian river red gum communities.
For wetlands 3-7 months’ persistence of standing water. For streamside areas, only duration to fill the soil profile, depressions/ billabongs required.
The median pre-1950 duration for flows of this size is 7.5 days. We analysed for cumulative flows of this duration, made up of individual events of a minimum of 4 days length within season.",,4 years,"Ideal flow timing: Anytime (Analysis of flows of this size indicates that they occur in the required frequency of 50% of years only when events in any season are accepted. Therefore, this flow is considered as applicable to river red gum (which may benefit from events in any season, though ‘in season’ flows are preferred) but not necessarily for water bird breeding. Events that do occur in the ideal season may still be beneficial to waterbird breeding), but ideally Aug - Feb.; Ideally maintain stable water levels in active waterbird colony sites and provide slow draw down for shallow muddy edges for bird foraging habitat.
To support river red gum flowering, seed set and seedling establishment & to encourage vegetative growth of lignum stands and lignum seedling germination and establishment- clustered, sequenced flows (i.e. annual flows over 2-3 years) are required. This also benefits river cooba. The provision of periods of successive flows will also improve the condition of existing river red gum, lignum & river cooba and reduce unwanted river red gum recruitment.
For timing: flow can occur earlier, but for best benefits, duration of standing water of at least 90 days is required from Sept on to fit with vegetation growing season & bird breeding seasonality. Some frog species are summer breeders, which will need at least 3 months from Oct."
